District,Municipality,Stembureau,Party,Candidate,Total
Leiden,Zoetermeer,31,1,1,246
Leiden,Zoetermeer,31,1,2,9
Leiden,Zoetermeer,31,1,3,3
Leiden,Zoetermeer,31,1,4,5
Leiden,Zoetermeer,31,1,5,1
Leiden,Zoetermeer,31,1,6,0
Leiden,Zoetermeer,31,1,7,1
Leiden,Zoetermeer,31,1,8,1
Leiden,Zoetermeer,31,1,9,0
Leiden,Zoetermeer,31,1,10,0
Leiden,Zoetermeer,31,1,11,0
Leiden,Zoetermeer,31,1,12,0
Leiden,Zoetermeer,31,1,13,0
Leiden,Zoetermeer,31,1,14,0
Leiden,Zoetermeer,31,1,15,1
Leiden,Zoetermeer,31,1,16,0
Leiden,Zoetermeer,31,1,17,0
Leiden,Zoetermeer,31,1,18,0
Leiden,Zoetermeer,31,1,19,0
Leiden,Zoetermeer,31,1,20,0
Leiden,Zoetermeer,31,1,21,0
Leiden,Zoetermeer,31,1,22,0
Leiden,Zoetermeer,31,1,23,0
Leiden,Zoetermeer,31,1,24,0
Leiden,Zoetermeer,31,1,25,0
Leiden,Zoetermeer,31,1,26,0
Leiden,Zoetermeer,31,1,27,0
Leiden,Zoetermeer,31,1,28,0
Leiden,Zoetermeer,31,1,29,0
Leiden,Zoetermeer,31,1,30,0
Leiden,Zoetermeer,31,1,31,0
Leiden,Zoetermeer,31,1,32,0
Leiden,Zoetermeer,31,1,33,0
Leiden,Zoetermeer,31,1,34,0
Leiden,Zoetermeer,31,1,35,0
Leiden,Zoetermeer,31,1,36,0
Leiden,Zoetermeer,31,1,37,0
Leiden,Zoetermeer,31,1,38,0
Leiden,Zoetermeer,31,1,39,0
Leiden,Zoetermeer,31,1,40,0
Leiden,Zoetermeer,31,1,41,1
Leiden,Zoetermeer,31,1,42,0
Leiden,Zoetermeer,31,1,43,0
Leiden,Zoetermeer,31,1,44,0
Leiden,Zoetermeer,31,1,45,0
Leiden,Zoetermeer,31,1,46,0
Leiden,Zoetermeer,31,1,47,0
